Inicializando el proceso........
Ejecutando Spotify_List: 05/11/2022 03:58:44
Inicializando el proceso........
Ejecutando Spotify_List: 05/11/2022 03:59:48
Ejecutando Spotify_List: 05/11/2022 03:59:58
Ejecutando Spotify_List: 05/11/2022 04:00:08
Ejecutando Spotify_List: 05/11/2022 04:00:18
Ejecutando Spotify_List: 05/11/2022 04:00:28
Ejecutando Spotify_List: 05/11/2022 04:00:38
Ejecutando Spotify_List: 05/11/2022 04:00:48
Inicializando el proceso........
Ejecutando Spotify_List: 05/11/2022 04:01:56
Ejecutando Spotify_List: 05/11/2022 04:02:07
Ejecutando Spotify_List: 05/11/2022 04:02:16
Ejecutando Spotify_List: 05/11/2022 04:02:26
Ejecutando Spotify_List: 05/11/2022 04:02:36
Ejecutando Spotify_List: 05/11/2022 04:02:47
Ejecutando Spotify_List: 05/11/2022 04:02:56
Ejecutando Spotify_List: 05/11/2022 04:03:06
Ejecutando Spotify_List: 05/11/2022 04:03:16
Ejecutando Spotify_List: 05/11/2022 04:03:26
Ejecutando Spotify_List: 05/11/2022 04:03:36
Ejecutando Spotify_List: 05/11/2022 04:03:46
Ejecutando Spotify_List: 05/11/2022 04:03:56
Ejecutando Spotify_List: 05/11/2022 04:04:06
Ejecutando Spotify_List: 05/11/2022 04:04:16
Ejecutando Spotify_List: 05/11/2022 04:04:26
Ejecutando Spotify_List: 05/11/2022 04:04:37
Ejecutando Spotify_List: 05/11/2022 04:04:47
Ejecutando Spotify_List: 05/11/2022 04:04:56
Ejecutando Spotify_List: 05/11/2022 04:05:06
Ejecutando Spotify_List: 05/11/2022 04:05:16
Ejecutando Spotify_List: 05/11/2022 04:05:27
Ejecutando Spotify_List: 05/11/2022 04:05:36
Ejecutando Spotify_List: 05/11/2022 04:05:46
Ejecutando Spotify_List: 05/11/2022 04:05:56
Ejecutando Spotify_List: 05/11/2022 04:06:06
Ejecutando Spotify_List: 05/11/2022 04:06:16
Ejecutando Spotify_List: 05/11/2022 04:06:26
Ejecutando Spotify_List: 05/11/2022 04:06:36
Ejecutando Spotify_List: 05/11/2022 04:06:46
Ejecutando Spotify_List: 05/11/2022 04:06:56
Ejecutando Spotify_List: 05/11/2022 04:07:06
Ejecutando Spotify_List: 05/11/2022 04:07:16
Ejecutando Spotify_List: 05/11/2022 04:07:26
Ejecutando Spotify_List: 05/11/2022 04:07:36
Ejecutando Spotify_List: 05/11/2022 04:07:46
Ejecutando Spotify_List: 05/11/2022 04:07:56
Ejecutando Spotify_List: 05/11/2022 04:08:06
Ejecutando Spotify_List: 05/11/2022 04:08:16
Ejecutando Spotify_List: 05/11/2022 04:08:26
Ejecutando Spotify_List: 05/11/2022 04:08:36
Ejecutando Spotify_List: 05/11/2022 04:08:46
Ejecutando Spotify_List: 05/11/2022 04:08:56
Ejecutando Spotify_List: 05/11/2022 04:09:06
Ejecutando Spotify_List: 05/11/2022 04:09:16
Ejecutando Spotify_List: 05/11/2022 04:09:26
Ejecutando Spotify_List: 05/11/2022 04:09:36
Ejecutando Spotify_List: 05/11/2022 04:09:46
Ejecutando Spotify_List: 05/11/2022 04:09:56
Ejecutando Spotify_List: 05/11/2022 04:10:06
Ejecutando Spotify_List: 05/11/2022 04:10:16
Ejecutando Spotify_List: 05/11/2022 04:10:26
Ejecutando Spotify_List: 05/11/2022 04:10:36
Ejecutando Spotify_List: 05/11/2022 04:10:46
Ejecutando Spotify_List: 05/11/2022 04:10:56
Ejecutando Spotify_List: 05/11/2022 04:11:06
Ejecutando Spotify_List: 05/11/2022 04:11:16
Ejecutando Spotify_List: 05/11/2022 04:11:26
Ejecutando Spotify_List: 05/11/2022 04:11:36
Ejecutando Spotify_List: 05/11/2022 04:11:46
Ejecutando Spotify_List: 05/11/2022 04:11:56
Ejecutando Spotify_List: 05/11/2022 04:12:06
Ejecutando Spotify_List: 05/11/2022 04:12:16
Ejecutando Spotify_List: 05/11/2022 04:12:26
Ejecutando Spotify_List: 05/11/2022 04:12:36
Ejecutando Spotify_List: 05/11/2022 04:12:46
Ejecutando Spotify_List: 05/11/2022 04:12:56
Ejecutando Spotify_List: 05/11/2022 04:13:06
Ejecutando Spotify_List: 05/11/2022 04:13:16
Ejecutando Spotify_List: 05/11/2022 04:13:26
Ejecutando Spotify_List: 05/11/2022 04:13:36
Ejecutando Spotify_List: 05/11/2022 04:13:46
Ejecutando Spotify_List: 05/11/2022 04:13:56
Ejecutando Spotify_List: 05/11/2022 04:14:06
Ejecutando Spotify_List: 05/11/2022 04:14:16
Ejecutando Spotify_List: 05/11/2022 04:14:26
Ejecutando Spotify_List: 05/11/2022 04:14:36
Ejecutando Spotify_List: 05/11/2022 04:14:46
Ejecutando Spotify_List: 05/11/2022 04:14:56
Ejecutando Spotify_List: 05/11/2022 04:15:06
Ejecutando Spotify_List: 05/11/2022 04:15:16
Ejecutando Spotify_List: 05/11/2022 04:15:26
Ejecutando Spotify_List: 05/11/2022 04:15:36
Ejecutando Spotify_List: 05/11/2022 04:15:46
Ejecutando Spotify_List: 05/11/2022 04:15:56
Ejecutando Spotify_List: 05/11/2022 04:16:06
Ejecutando Spotify_List: 05/11/2022 04:16:16
Ejecutando Spotify_List: 05/11/2022 04:16:26
Ejecutando Spotify_List: 05/11/2022 04:16:36
Ejecutando Spotify_List: 05/11/2022 04:16:46
Ejecutando Spotify_List: 05/11/2022 04:16:56
Ejecutando Spotify_List: 05/11/2022 04:17:06
Ejecutando Spotify_List: 05/11/2022 04:17:16
Ejecutando Spotify_List: 05/11/2022 04:17:26
Ejecutando Spotify_List: 05/11/2022 04:17:36
Ejecutando Spotify_List: 05/11/2022 04:17:46
Ejecutando Spotify_List: 05/11/2022 04:17:56
Ejecutando Spotify_List: 05/11/2022 04:18:06
Ejecutando Spotify_List: 05/11/2022 04:18:16
Ejecutando Spotify_List: 05/11/2022 04:18:26
Ejecutando Spotify_List: 05/11/2022 04:18:36
Ejecutando Spotify_List: 05/11/2022 04:18:46
Ejecutando Spotify_List: 05/11/2022 04:18:56
Ejecutando Spotify_List: 05/11/2022 04:19:06
Ejecutando Spotify_List: 05/11/2022 04:19:16
Ejecutando Spotify_List: 05/11/2022 04:19:26
Ejecutando Spotify_List: 05/11/2022 04:19:36
Ejecutando Spotify_List: 05/11/2022 04:19:46
Ejecutando Spotify_List: 05/11/2022 04:19:56
Ejecutando Spotify_List: 05/11/2022 04:20:06
Ejecutando Spotify_List: 05/11/2022 04:20:16
Ejecutando Spotify_List: 05/11/2022 04:20:26
